1,,7011466,,7,704091,125276,1,"1","2",,"1971",1727,1376,,,,1
2,,7011466,,7,704091,125276,4,"1","2",,"1971",5486,396,,,,1
3,,7011466,,7,704091,125276,6,"1","2",,"1971",7871,396,,,,1
4,1,7011466,,7,704091,125276,9,"1","2",,"1971",318,397,,,,1
4,2,7011466,,7,704091,125276,11,"1","2",,"1971",10357,1701,,,,1
5,,7011466,,7,704091,45310,13,"1","2",,"1972",3196,354,,,,1
6,,7011466,,7,704091,45310,18,"1","2",,"1971",1607,354,,,,1
7,,7011466,,7,704091,125276,20,"1","2",,"1971",4517,397,,,,1
8,,7011466,,7,704091,125276,22,"1","1",,"1971",7039,1469,,,,1
9,,7011466,,7,704091,125276,24,"1","1",,"1971",6689,397,,,,1
10,,7011466,,7,704091,125276,26,"1","1",,"1971",3348,1332,,,,1
11,,7011466,,7,704091,125276,28,"1","1",,"1971",3485,1333,,,,1
12,1,7011466,,7,704091,125276,32,"8","4",,"1997",3442,917,,,,1
12,2,7011466,,7,704091,125276,34,"8","4",,"1997",37,917,,,,1
13,1,7011466,,7,704091,125276,36,"8",,"4","1997",3519,1331,,,,1
13,2,7011466,,7,704091,125276,38,"8",,"4","1997",25,1331,,,,1
14,1,7011466,,7,704091,45310,40,"1","29",,"1971",397,1866,,,,1
14,2,7011466,,7,704091,45310,44,"8","28",,"1971",8482,252,,,,1
14,3,7011466,,7,704091,45310,48,"8","28",,"1971",689,252,,,,1
14,4,7011466,,7,704091,45310,51,"8","28",,"1971",2503,252,,,,1
14,5,7011466,,7,704091,125276,53,"8","28",,"1971",871,252,,,,1
14,6,7011466,,7,704091,125276,55,"8","28",,"1971",1163,252,,,,1
14,7,7011466,,7,704091,125276,57,"8","28",,"1971",5668,252,,,,1
15,,7011466,,7,704091,125276,59,"8","28",,"1971",14915,252,,,,1
16,,7011466,,7,704091,125276,69,"8","28",,"1971",12718,252,,,,1
17,,7011466,,7,704091,125276,71,"1","2",,"1971",1764,252,,,,1
18,,7011466,,7,704091,125276,73,"1","2",,"1971",1881,252,,,,1
20,1,7011466,,7,704091,45310,75,"1",,"9","1999",2915,354,,,,1
20,2,7011466,,7,704091,45267,80,"8",,"1","1999",1264,1755,,,,1
20,3,7011466,,7,704091,139901,82,"1",,"1","1999",1189,1891,,,,1
21,,7011466,,7,704091,45310,86,"1","2",,"1971",1661,398,,,,1
22,,7011466,,7,704091,45310,91,"1",,"23","2005",676,397,,,,1
23,,7011466,,7,704091,139901,100,"8",,"23","2005",236,397,,,,1
24,1,7011466,,7,704091,45267,102,"8",,"56","2005",4437,1909,,,,1
24,2,7011466,,7,704091,45267,113,"8",,"8","1999",177,33,,,,1
25,1,7011466,,7,704091,139901,115,"8",,"23","2005",109,397,,,,1
25,2,7011466,,7,704091,45267,117,"8",,"8","1999",126,33,,,,1
26,1,7011466,,7,704091,45310,119,"1",,"20","2004",2289,1703,,,,1
26,2,7011466,,7,704091,139901,132,"1","1",,"1973",1656,397,,,,1
27,1,7011466,,7,704091,125276,134,"1","1",,"1973",809,1702,,,,1
27,2,7011466,,7,704091,139901,136,"1","1",,"1973",347,398,,,,1
28,,7011466,,7,704091,139901,138,"1","2",,"1971",594,398,,,,1
29,,7011466,,7,704091,139901,140,"1","2",,"1971",1080,398,,,,1
30,,7011466,,7,704091,45310,142,"2","4",,"1971",1708,396,,,,1
31,,7011466,,7,704091,139901,153,"1","2",,"1971",489,396,,,,1
32,,7011466,,7,704091,139901,155,"1","2",,"1971",3603,396,,,,1
