1,2,1,7/6/2007 0:00:00,,1
2,3,2,7/6/2007 0:00:00,,2
4,5,1,7/6/2007 0:00:00,7/20/2011 14:09:31,3
6,7,1,7/6/2007 0:00:00,7/20/2011 14:09:31,4
6,8,1,7/6/2007 0:00:00,7/20/2011 14:09:31,5
9,10,1,7/6/2007 0:00:00,5/17/2013 11:02:27,6
11,12,1,7/6/2007 0:00:00,2/27/2014 8:46:41,7
13,14,1,7/6/2007 0:00:00,5/24/2012 12:30:54,8
14,15,2,7/6/2007 0:00:00,6/13/2012 7:55:54,9
13,16,1,7/6/2007 0:00:00,5/24/2012 12:30:54,10
13,17,1,7/6/2007 0:00:00,5/24/2012 12:30:54,11
18,19,1,7/6/2007 0:00:00,5/24/2012 12:30:54,12
20,21,1,7/6/2007 0:00:00,5/17/2013 11:02:27,13
22,23,1,7/6/2007 0:00:00,4/28/2010 7:00:49,14
24,25,1,7/6/2007 0:00:00,5/17/2013 11:02:27,15
26,27,1,7/6/2007 0:00:00,,16
28,29,1,7/6/2007 0:00:00,,17
28,30,1,7/6/2007 0:00:00,,18
28,31,1,7/6/2007 0:00:00,,19
32,33,1,7/6/2007 0:00:00,5/17/2011 7:12:08,20
34,35,1,7/6/2007 0:00:00,5/17/2011 7:12:08,21
36,37,1,7/6/2007 0:00:00,6/14/2011 8:05:42,22
38,39,1,7/6/2007 0:00:00,6/14/2011 8:05:42,23
40,41,1,7/6/2007 0:00:00,,24
41,42,2,7/6/2007 0:00:00,,25
40,43,1,7/6/2007 0:00:00,,26
44,45,1,7/6/2007 0:00:00,,27
45,46,2,7/6/2007 0:00:00,,28
44,47,1,7/6/2007 0:00:00,,29
48,49,1,7/6/2007 0:00:00,,30
49,50,2,7/6/2007 0:00:00,,31
51,52,1,7/6/2007 0:00:00,,32
53,54,1,7/6/2007 0:00:00,,33
55,56,1,7/6/2007 0:00:00,,34
57,58,1,7/6/2007 0:00:00,,35
59,60,1,7/6/2007 0:00:00,2/18/2009 7:43:20,36
60,61,2,7/6/2007 0:00:00,,37
59,62,1,7/6/2007 0:00:00,2/18/2009 7:43:20,38
62,63,2,7/6/2007 0:00:00,2/18/2009 7:43:20,39
59,64,1,7/6/2007 0:00:00,2/18/2009 7:43:20,40
64,65,2,7/6/2007 0:00:00,,41
59,66,1,7/6/2007 0:00:00,2/18/2009 7:43:20,42
66,67,2,7/6/2007 0:00:00,,43
59,68,1,7/6/2007 0:00:00,2/18/2009 7:43:20,44
69,70,1,7/6/2007 0:00:00,,45
71,72,1,7/6/2007 0:00:00,,46
73,74,1,7/6/2007 0:00:00,,47
75,76,1,7/6/2007 0:00:00,5/24/2012 12:30:54,48
75,77,1,7/6/2007 0:00:00,5/24/2012 12:30:54,49
80,81,1,7/6/2007 0:00:00,1/13/2011 11:21:59,52
82,83,1,7/6/2007 0:00:00,5/24/2012 12:30:54,53
82,84,1,7/6/2007 0:00:00,5/24/2012 12:30:54,54
84,85,2,7/6/2007 0:00:00,,55
86,87,1,7/6/2007 0:00:00,4/8/2011 12:59:29,56
