2,1,360,1727.00,,,1,
5,1,152,5486.00,,,1,
7,1,112,7695.00,,,1,
8,2,172,176.00,,,1,
10,1,172,318.00,,,1,
12,1,112,10357.00,,,1,
14,1,360,49.00,,,1,
16,2,370,500.00,,,1,
17,3,299,2647.00,,,1,
19,1,162,1607.00,,,1,
21,1,112,4517.00,,,1,
23,1,112,7039.00,,,1,
25,1,112,6689.00,,,1,
27,1,112,3348.00,,,1,
29,1,112,3377.00,,,1,
30,2,172,51.00,,,1,
31,3,322,57.00,,,1,
33,1,112,3442.00,,,1,
35,1,112,37.00,,,1,
37,1,112,3519.00,,,1,
39,1,112,25.00,,,1,
41,1,360,83.00,,,1,
43,2,370,314.00,,,1,
45,2,360,14.00,,,1,
47,3,162,8468.00,,,1,
49,1,360,689.00,,,1,
52,1,162,2503.00,,,1,
54,1,172,871.00,,,1,
56,1,212,1163.00,,,1,
58,1,162,5668.00,,,1,
60,1,360,57.00,,,1,
62,2,360,47.00,,,1,
64,3,360,26.00,,,1,
66,4,360,19.00,,,1,
68,5,162,14766.00,,,1,
70,1,210,12718.00,,,1,
72,1,212,1764.00,,,1,
74,1,172,1881.00,,,1,
76,2,370,500.00,,,1,
77,3,299,2400.00,,,1,
81,1,161,1264.00,,,1,
83,2,370,963.00,,,1,
84,1,360,226.00,,,1,
87,1,360,406.00,,,1,
89,2,370,500.00,,,1,
90,3,299,755.00,,,1,
92,1,360,35.00,,,1,
94,2,360,24.00,,,1,
98,4,370,500.00,,,1,
99,5,133,114.00,,,1,
101,1,161,236.00,,,1,
103,1,360,792.00,,,1,
105,2,360,39.00,,,1,
107,3,360,18.00,,,1,
109,4,360,7.00,,,1,
111,5,370,1846.00,,,1,
112,6,133,1735.00,,,1,
114,1,152,177.00,,,1,
116,1,133,109.00,,,1,
118,1,133,126.00,,,1,
120,1,360,154.00,,,1,
122,2,360,176.00,,,1,
124,3,360,75.00,,,1,
126,4,360,29.00,,,1,
128,5,360,9.00,,,1,
130,6,370,500.00,,,1,
131,7,133,1346.00,,,1,
133,1,133,1656.00,,,1,
135,1,112,809.00,,,1,
137,1,112,347.00,,,1,
139,1,133,594.00,,,1,
141,1,112,1080.00,,,1,
143,1,360,136.00,,,1,
145,2,360,70.00,,,1,
147,3,360,62.00,,,1,
149,4,360,32.00,,,1,
151,5,370,500.00,,,1,
152,6,133,908.00,,,1,
154,1,133,489.00,,,1,
156,1,112,3603.00,,,1,
158,1,133,974.00,,,1,
160,1,172,639.00,,,1,
162,1,322,317.00,,,1,
164,1,360,74.00,,,1,
166,2,370,355.00,,,1,
